S_No,S_Code
1708,JRU
1709,HAS
1710,HLN
1711,MGF
1712,KRNR
1713,PLJE
1714,KTH
1715,NSL
1716,TR
1717,PSD
1718,POZ
1719,DLB
1720,BDU
1721,KEK
1722,CNT
1723,JER
1724,SRC
1725,TMZ
1726,KATI
1727,RMRB
1728,DGHA
1729,HZD
1730,PSB
1731,PRP
1732,TKN
1733,GRRU
1734,RFJ
1735,JHN
1736,SEB
1737,KTQ
1738,DGO
1739,KMS
1740,SYJ
1741,CDMR
1742,JNU
1743,KS
1744,SHG
1745,MLPR
1746,ABP
1747,GGJ
1748,AY
1749,ACND
1750,SLW
1751,RDL
1752,DYD
1753,SGJ
1754,SNX
1755,KTW
1756,KEA
1757,OKHA
1758,DWK
1759,KMBL
1760,BCK
1761,BTS
1762,MKO
1763,BTV
1764,KRIH
1765,DNM
1766,BRAG
1767,NKP
1768,CLKA
1769,IPM
1770,SPT
1771,NWP
1772,CPP
1773,KKW
1774,THVM
1775,KAWR
1776,GOK
1777,KT
1778,HNA
1779,BTJL
1780,BYNR
1781,KUDA
1782,MULK
1783,SL
1784,MAKM
1785,CTO
1786,TPH
1787,PPT
1788,SBO
1789,KRJ
1790,BIM
1791,AML
1792,MRL
1793,SCH
1794,GKH
1795,PNE
1796,AMP
1797,MLV
1798,NHT
1799,MGAE
1800,SDI
1801,AZ
1802,CNO
1803,SWV
1804,CHI
1806,TET
1807,JHD
1808,TEA
1809,BNXR
1810,HYT
1811,SKI
1812,MBI
1813,JYG
1814,CCK
1815,MIH
1816,BWI
1817,BLG
1818,PTH
1819,BZG
1820,NRM
1821,NRO
1822,MQS
1823,MZM
1824,BJO
1825,HLDR
1826,CPS
1827,MNDR
1828,AMH
1829,RMT
1830,PTRU
1831,KLRE
1832,TORI
1833,LTHR
1834,BRWD
1835,URD
1836,MDJ
1837,HDN
1838,JPL
1839,NBG
1840,ANH
1841,SHC
1842,NKD
1843,AKN
1844,DRH
1845,UREN
1846,SRY
1847,SHK
1848,KSC
1849,WRS
1850,NWD
1851,TIA
1852,WZJ
1853,KRMI
1854,PERN
1855,ROHA
1856,MAY
1857,KRND
1858,SMZ
1859,MMA
1860,PDR
1861,BRK
1862,RS
1863,NNP
1864,MIN
1865,BIC
1866,TQN
1867,BXM
1868,PLK
1869,BIK
1870,KCO
1871,SRN
1872,MH
1873,NBR
1874,MAG
1875,RYP
1876,KI
1877,YP
1878,BKL
1879,GLA
1880,MLY
1881,NNO
1883,MOG
1884,PEP
1885,RSR
1886,MRR
1887,OMLF
1888,ADF
1889,EKI
1890,GZO
1891,MANG
1892,DOTL
1893,DLPH
1894,BNDP
1895,GRMP
1896,MLNH
1897,RMPB
1898,MLKP
1899,BLGT
1900,UBR
1901,UVD
1902,KIM
1903,KSB
1904,MYG
1905,MHD
1906,BJD
1907,DGI
1908,SYN
1909,PAO
1910,NIU
1911,PLJ
1912,VDA
1913,SHM
1914,KON
1915,SAI
1916,PMN
1917,PHN
1918,KPI
1919,AIT
1920,MOTH
1921,CGN
1922,SAHI
1923,CAI
1924,PPA
1925,MTR
1926,KGX
1927,BNP
1928,HP
1929,TPZ
1930,ABKA
1931,NDAE
1932,KWAE
1933,SALE
1934,BZLE
1935,KGLE
1936,JRLE
1937,NILE
1938,SM
1939,BKRD
1940,HCR
1941,KDPR
1942,SBV
1943,JGM
1944,CKU
1945,GTS
1946,JHMR
1947,LMTD
1948,TUL
1949,SSIA
1950,TRAN
1951,TIS
1952,NKM
1953,MDE
1954,GJD
1955,KSX
1956,SLF
1957,BHME
1958,PUS
1959,BRMO
1960,JAN
1961,BKRO
1962,DMBR
1963,DNEA
1964,JGR
1965,CNPR
1966,RRME
1967,RKSH
1968,VRH
1969,FGSB
1970,BSPN
1971,MRND
1972,KRLI
1973,RPAR
1974,GANL
1975,KART
1976,ANSB
1977,NLDM
1978,NNGL
1979,MTPR
1980,UHL
1981,CNDM
1982,KLK
1983,KUU
1984,GAM
1985,KTGA
1986,SKPI
1987,BLMK
1988,LLGM
1989,RUL
1990,TKRI
1991,SGRM
1992,LKMR
1993,KKGM
1994,DMNJ
1995,KRPU
1996,MVF
1997,JRT
1998,MVG
1999,CTS
2000,JYP
2001,DIR
2002,CJS
2003,KPRR
2004,AGB
2005,AGZ
2006,JDB
2007,MEZ
2008,TPQ
2009,BDXX
2010,DMK
2011,SZY
2012,KMSD
2013,KKLU
2014,KWGN
2015,DPF
2016,GIZ
2017,DWZ
2018,KMLR
2019,BHNS
2020,BCHL
2021,KRDL
2022,SKT
2023,GGA
2024,EKC
2025,SVRP
2026,MZC
2027,DUJ
2028,PAW
2029,UKA
2030,MSB
2031,NGN
2032,VNA
2033,PS
2034,ITR
2035,BQR
2036,BIA
2037,DBEC
2038,MOU
2039,GOL
2040,SWR
2041,RKSN
2042,SINI
2043,RHE
2044,GUD
2045,ULB
2046,BEH
2047,GPH
2048,KXN
2049,KLG
2050,PPO
2051,BZR
2052,GII
2053,BZN
2054,DEG
2055,KASR
2056,NRG
2057,JPH
2058,ODM
2059,GBA
2060,SLB
2061,GMDN
2062,SED
2063,UGR
2064,CNC
2065,RBG
2066,CKR
2067,GKK
2068,SUL
2069,KNP
2070,CT
2071,MQR
2072,URI
2073,KDG
2074,BGVN
2075,JEUR
2076,LPI
2077,NS
2078,PKO
2079,VVM
2080,BVRM
2081,MDVL
2082,BN
2083,NAT
2084,KPRD
2085,RPUR
2086,MSDN
2087,DNRE
2088,PHK
2089,BDH
2090,RJG
2091,ATL
2092,DNA
2093,GCH
2094,SBR
2095,BSDP
